fname,label
sample_1777849154.wav,filtered
sample_1777849162.wav,filtered
sample_1777849169.wav,filtered
sample_1777849175.wav,filtered
sample_1777849182.wav,filtered
sample_1777849188.wav,filtered
sample_1777849195.wav,filtered
sample_1777849202.wav,filtered
sample_1777849210.wav,filtered
sample_1777849218.wav,filtered
sample_1777849226.wav,filtered
sample_1777849232.wav,filtered
sample_1777849238.wav,filtered
sample_1777849246.wav,filtered
sample_1777849252.wav,filtered
sample_1777849259.wav,filtered
sample_1777849266.wav,filtered
sample_1777849273.wav,filtered
sample_1777849280.wav,filtered
sample_1777849288.wav,filtered
sample_1777849294.wav,filtered
sample_1777849302.wav,filtered
sample_1777849309.wav,filtered
sample_1777849315.wav,filtered
sample_1777849323.wav,filtered
sample_1777849330.wav,filtered
sample_1777849338.wav,filtered
sample_1777849345.wav,filtered
sample_1777849352.wav,filtered
sample_1777849359.wav,filtered
sample_1777849366.wav,filtered
sample_1777849373.wav,filtered
sample_1777849379.wav,filtered
sample_1777849386.wav,filtered
sample_1777848727.wav,not_filtered
sample_1777848733.wav,not_filtered
sample_1777848741.wav,not_filtered
sample_1777848754.wav,not_filtered
sample_1777848762.wav,not_filtered
sample_1777848769.wav,not_filtered
sample_1777848775.wav,not_filtered
sample_1777848782.wav,not_filtered
sample_1777848789.wav,not_filtered
sample_1777848796.wav,not_filtered
sample_1777848803.wav,not_filtered
sample_1777848809.wav,not_filtered
sample_1777848817.wav,not_filtered
sample_1777848824.wav,not_filtered
sample_1777848832.wav,not_filtered
sample_1777848839.wav,not_filtered
sample_1777848847.wav,not_filtered
sample_1777848854.wav,not_filtered
sample_1777848862.wav,not_filtered
sample_1777848867.wav,not_filtered
sample_1777848875.wav,not_filtered
sample_1777848882.wav,not_filtered
sample_1777848890.wav,not_filtered
sample_1777848897.wav,not_filtered
sample_1777848904.wav,not_filtered
sample_1777848911.wav,not_filtered
sample_1777848918.wav,not_filtered
sample_1777848925.wav,not_filtered
sample_1777848932.wav,not_filtered
sample_1777848939.wav,not_filtered
sample_1777848946.wav,not_filtered
sample_1777848953.wav,not_filtered
sample_1777848960.wav,not_filtered
sample_1777848966.wav,not_filtered
sample_1777848974.wav,not_filtered
sample_1777848980.wav,not_filtered
sample_1777848985.wav,not_filtered
