fname,label
ambient_0000.wav,filtered
ambient_0001.wav,filtered
ambient_0002.wav,filtered
ambient_0003.wav,filtered
ambient_0004.wav,filtered
ambient_0005.wav,filtered
ambient_0006.wav,filtered
ambient_0007.wav,filtered
ambient_0008.wav,filtered
ambient_0009.wav,filtered
ambient_0010.wav,filtered
ambient_0011.wav,filtered
ambient_0012.wav,filtered
ambient_0013.wav,filtered
ambient_0014.wav,filtered
ambient_0015.wav,filtered
ambient_0016.wav,filtered
ambient_0017.wav,filtered
ambient_0018.wav,filtered
ambient_0019.wav,filtered
ambient_0020.wav,filtered
ambient_0021.wav,filtered
ambient_0022.wav,filtered
ambient_0023.wav,filtered
ambient_0024.wav,filtered
ambient_0025.wav,filtered
ambient_0026.wav,filtered
ambient_0027.wav,filtered
ambient_0028.wav,filtered
ambient_0029.wav,filtered
ambient_0030.wav,filtered
ambient_0031.wav,filtered
ambient_0032.wav,filtered
ambient_0033.wav,filtered
ambient_0034.wav,filtered
ambient_0035.wav,filtered
ambient_0036.wav,filtered
ambient_0037.wav,filtered
ambient_0038.wav,filtered
ambient_0039.wav,filtered
ambient_0040.wav,filtered
ambient_0041.wav,filtered
ambient_0042.wav,filtered
ambient_0043.wav,filtered
ambient_0044.wav,filtered
ambient_0045.wav,filtered
ambient_0046.wav,filtered
ambient_0047.wav,filtered
ambient_0048.wav,filtered
ambient_0049.wav,filtered
ambient_0050.wav,filtered
ambient_0051.wav,filtered
ambient_0052.wav,filtered
ambient_0053.wav,filtered
ambient_0054.wav,filtered
ambient_0055.wav,filtered
ambient_0056.wav,filtered
ambient_0000.wav,not_filtered
ambient_0001.wav,not_filtered
ambient_0002.wav,not_filtered
ambient_0003.wav,not_filtered
ambient_0004.wav,not_filtered
ambient_0005.wav,not_filtered
ambient_0006.wav,not_filtered
ambient_0007.wav,not_filtered
ambient_0008.wav,not_filtered
ambient_0009.wav,not_filtered
ambient_0010.wav,not_filtered
ambient_0011.wav,not_filtered
ambient_0012.wav,not_filtered
ambient_0013.wav,not_filtered
ambient_0014.wav,not_filtered
ambient_0015.wav,not_filtered
ambient_0016.wav,not_filtered
ambient_0017.wav,not_filtered
ambient_0018.wav,not_filtered
ambient_0019.wav,not_filtered
ambient_0020.wav,not_filtered
ambient_0021.wav,not_filtered
ambient_0022.wav,not_filtered
ambient_0023.wav,not_filtered
ambient_0024.wav,not_filtered
ambient_0025.wav,not_filtered
ambient_0026.wav,not_filtered
ambient_0027.wav,not_filtered
ambient_0028.wav,not_filtered
ambient_0029.wav,not_filtered
ambient_0030.wav,not_filtered
ambient_0031.wav,not_filtered
ambient_0032.wav,not_filtered
ambient_0033.wav,not_filtered
ambient_0034.wav,not_filtered
ambient_0035.wav,not_filtered
ambient_0036.wav,not_filtered
ambient_0037.wav,not_filtered
ambient_0038.wav,not_filtered
ambient_0039.wav,not_filtered
ambient_0040.wav,not_filtered
ambient_0041.wav,not_filtered
ambient_0042.wav,not_filtered
ambient_0043.wav,not_filtered
ambient_0044.wav,not_filtered
ambient_0045.wav,not_filtered
ambient_0046.wav,not_filtered
ambient_0047.wav,not_filtered
ambient_0048.wav,not_filtered
ambient_0049.wav,not_filtered
ambient_0050.wav,not_filtered
ambient_0051.wav,not_filtered
ambient_0052.wav,not_filtered
ambient_0053.wav,not_filtered
ambient_0054.wav,not_filtered
ambient_0055.wav,not_filtered
ambient_0056.wav,not_filtered
ambient_0057.wav,not_filtered
